No.,Masjid ID,Nama Masjid,Provinsi,Kabupaten,Kecamatan,Tipologi,Alamat,Status Tanah,Luas Tanah,Luas Bangunan,Tahun Berdiri,No. Telp/HP,Email,Latitude,Longitude,Lokasi Peta,Profil Masjid
1,01.1.01.19.01.000001,BAITURRAHMAN,Aceh,Kota Banda Aceh,Baiturrahman,Masjid Raya,Jln.Muhammad Jam no.1,SHM,31000 m2,4000 m2,1875,,,5.553592,95.317265,"https://www.google.com/maps/search/5.55359200000000000000,95.31726500000000000000",https://simas.kemenag.go.id/profil/masjid/25
2,01.4.01.05.06.000001,Nurul Iman,Aceh,Kab. Aceh Barat,Bubon,Masjid Jami,"Jl. Layung - Gunong Meueh Km.8, Gampong Peulanteu SP, Kec. Bubon, Kab. Aceh Barat",Wakaf,2600 m2,800,2011,,,4.431669328,96.24538422,"https://www.google.com/maps/search/4.43166932836499500000,96.24538421630860000000",https://simas.kemenag.go.id/profil/masjid/77
3,01.2.01.22.03.000001,Darul Falah,Aceh,Kota Langsa,Langsa Kota,Masjid Agung,Jalan Jenderal Ahmad Yani Gampong Peukan Langsa,Wakaf,6400,1764,1968,,,4.469770199,97.97131598,"https://www.google.com/maps/search/4.46977019901310000000,97.97131597995800000000",https://simas.kemenag.go.id/profil/masjid/1582
4,01.5.01.06.03.000001,Tua,Aceh,Kab. Aceh Besar,Indrapuri,Masjid Bersejarah,"Jl.Banda Aceh-Medan, Desa Indrapuri Pasar, Kec. Indrapuri, Kab. Aceh Besar, Provinsi Aceh",SHM,33875,1600,1507,,,5.415364537,95.44657141,"https://www.google.com/maps/search/5.41536453714646000000,95.44657140970230000000",https://simas.kemenag.go.id/profil/masjid/2934
5,01.2.01.10.03.000001,Nurul Makmur,Aceh,Kab. Aceh Singkil,Singkil,Masjid Agung,Jln. Bahari Desa Pulo Sarok,Wakaf,10000,100,2000,,,2.271343179,97.81290472,"https://www.google.com/maps/search/2.27134317947210000000,97.81290471553800000000",https://simas.kemenag.go.id/profil/masjid/4097
6,01.3.01.08.15.000001,Darul 'Ulya,Aceh,Kab. Aceh Utara,Sawang,Masjid Besar,Keude Sawang,Wakaf,2500,750,1960,,,5.032232648,96.71621843,"https://www.google.com/maps/search/5.03223264778032900000,96.71621843241155000000",https://simas.kemenag.go.id/profil/masjid/4098
7,01.4.01.06.18.000001,TGK. HJ. FAKINAH,Aceh,Kab. Aceh Besar,Simpang Tiga,Masjid Jami,Gampong Lamjame Lamkrak,Wakaf,3933,390,1983,81360045327,,5.436237423,95.43651581,"https://www.google.com/maps/search/5.43623742272320000000,95.43651580810500000000",https://simas.kemenag.go.id/profil/masjid/4100
8,01.2.01.01.08.000001,Istiqamah Tapaktuan,Aceh,Kab. Aceh Selatan,Tapaktuan,Masjid Agung,Jl. Jend. Sudirman Gampong. Padang Kec. Tapaktuan,Wakaf,4246,110,1935,085296908884 (ketua BKM),,3.257936936,97.17936695,"https://www.google.com/maps/search/3.25793693580463730000,97.17936694622040000000",https://simas.kemenag.go.id/profil/masjid/4102
9,01.6.01.12.04.000001,Baitul Qahhar,Aceh,Kab. Aceh Barat Daya,Susoh,Masjid di Tempat Publik,Desa Durian Rampak,Wakaf,2500,280,1969,-,-,3.725259537,96.82260096,"https://www.google.com/maps/search/3.72525953733470000000,96.82260096073200000000",https://simas.kemenag.go.id/profil/masjid/4103
10,01.2.01.13.01.000001,As-Shalihin,Aceh,Kab. Gayo Lues,Blangkejeren,Masjid Agung,Jl.Kuta Panjang Kelurahan Kota Blangkejeren,Wakaf,50 X 50,35 X 35,1991,81287631623,,3.999858,97.345028,"https://www.google.com/maps/search/3.99985800000000000000,97.34502800000000000000",https://simas.kemenag.go.id/profil/masjid/4104
